domain,model,state,lead_day,rmse_mean,n_cases
combined_nsr,U-Net,compact_ice,14,0.16145215000977392,282
combined_nsr,U-Net,compact_ice,15,0.1678207600030892,282
combined_nsr,U-Net,compact_ice,16,0.17358141053884457,282
combined_nsr,U-Net,compact_ice,17,0.17888140137916836,282
combined_nsr,U-Net,compact_ice,18,0.18419684588322754,282
combined_nsr,U-Net,compact_ice,19,0.19028188876243013,282
combined_nsr,U-Net,compact_ice,20,0.19341227313045734,282
combined_nsr,U-Net,compact_ice,21,0.20074424757150988,282
combined_nsr,U-Net,compact_ice,22,0.20684640362806553,282
combined_nsr,U-Net,compact_ice,23,0.21297608748615368,282
combined_nsr,U-Net,compact_ice,24,0.21848622115113722,282
combined_nsr,U-Net,compact_ice,25,0.22448432474907848,282
combined_nsr,U-Net,compact_ice,26,0.22932915530088893,282
combined_nsr,U-Net,compact_ice,27,0.23557964324336045,282
combined_nsr,U-Net,compact_ice,28,0.24033888868671396,282
combined_nsr,U-Net,compact_ice,29,0.24495981819899176,282
combined_nsr,U-Net,compact_ice,30,0.24920784001779106,282
combined_nsr,U-Net,miz,1,0.03822392705612068,282
combined_nsr,U-Net,miz,2,0.059705490727525234,282
combined_nsr,U-Net,miz,3,0.07570160822308185,282
combined_nsr,U-Net,miz,4,0.08871342435487051,282
combined_nsr,U-Net,miz,5,0.09977581502993199,282
combined_nsr,U-Net,miz,6,0.109708840062074,282
combined_nsr,U-Net,miz,7,0.1181548783311484,282
combined_nsr,U-Net,miz,8,0.12635453052339943,282
combined_nsr,U-Net,miz,9,0.1339928219707613,282
combined_nsr,U-Net,miz,10,0.1417618058431257,282
combined_nsr,U-Net,miz,11,0.14732704536777197,282
combined_nsr,U-Net,miz,12,0.1535727914327507,282
combined_nsr,U-Net,miz,13,0.15861053688636415,282
combined_nsr,U-Net,miz,14,0.16345379422224618,282
combined_nsr,U-Net,miz,15,0.16884132159225448,282
combined_nsr,U-Net,miz,16,0.17378276628322714,282
combined_nsr,U-Net,miz,17,0.1779469574161465,282
combined_nsr,U-Net,miz,18,0.18363693601701944,282
combined_nsr,U-Net,miz,19,0.18754410165757324,282
combined_nsr,U-Net,miz,20,0.19077080629362442,282
combined_nsr,U-Net,miz,21,0.19497268471343923,282
combined_nsr,U-Net,miz,22,0.19828565983583968,282
combined_nsr,U-Net,miz,23,0.2017145331161228,282
combined_nsr,U-Net,miz,24,0.20420069162666246,282
combined_nsr,U-Net,miz,25,0.20748691422685953,282
combined_nsr,U-Net,miz,26,0.21126337021198227,282
combined_nsr,U-Net,miz,27,0.21457564233518797,282
combined_nsr,U-Net,miz,28,0.2187249700030659,282
combined_nsr,U-Net,miz,29,0.22122018965127,282
combined_nsr,U-Net,miz,30,0.22409331734708623,282
combined_nsr,U-Net,open_water,1,0.013836166476214027,282
combined_nsr,U-Net,open_water,2,0.019787567646460454,282
combined_nsr,U-Net,open_water,3,0.024852171925904186,282
combined_nsr,U-Net,open_water,4,0.029478813623984006,282
combined_nsr,U-Net,open_water,5,0.033709404533210134,282
combined_nsr,U-Net,open_water,6,0.037311620582836755,282
combined_nsr,U-Net,open_water,7,0.04103323850095458,282
combined_nsr,U-Net,open_water,8,0.04337310087978407,282
combined_nsr,U-Net,open_water,9,0.04496381503581919,282
combined_nsr,U-Net,open_water,10,0.04572544841655563,282
combined_nsr,U-Net,open_water,11,0.0478734122805536,282
combined_nsr,U-Net,open_water,12,0.04894915691731931,282
combined_nsr,U-Net,open_water,13,0.050690411507296244,282
combined_nsr,U-Net,open_water,14,0.05204790800322478,282
combined_nsr,U-Net,open_water,15,0.05308967103357105,282
combined_nsr,U-Net,open_water,16,0.05431152879353978,282
combined_nsr,U-Net,open_water,17,0.05624281360785559,282
combined_nsr,U-Net,open_water,18,0.05691870708119441,282
combined_nsr,U-Net,open_water,19,0.05862619984289015,282
combined_nsr,U-Net,open_water,20,0.061303971299050124,282
combined_nsr,U-Net,open_water,21,0.061887598097141304,282
combined_nsr,U-Net,open_water,22,0.06357262223366236,282
combined_nsr,U-Net,open_water,23,0.06525294354727289,282
combined_nsr,U-Net,open_water,24,0.06720588966579648,282
combined_nsr,U-Net,open_water,25,0.06825202607741641,282
combined_nsr,U-Net,open_water,26,0.06892697143409023,282
combined_nsr,U-Net,open_water,27,0.07009256530603913,282
combined_nsr,U-Net,open_water,28,0.07089473433829414,282
combined_nsr,U-Net,open_water,29,0.07218898844291166,282
combined_nsr,U-Net,open_water,30,0.07315466379723043,282
pan_arctic,CNN,compact_ice,1,0.03080638325644973,282
pan_arctic,CNN,compact_ice,2,0.04374626454234757,282
pan_arctic,CNN,compact_ice,3,0.05225944806274308,282
pan_arctic,CNN,compact_ice,4,0.0581568964623704,282
pan_arctic,CNN,compact_ice,5,0.0624257774201416,282
pan_arctic,CNN,compact_ice,6,0.06589041743186758,282
pan_arctic,CNN,compact_ice,7,0.06964935052995964,282
pan_arctic,CNN,compact_ice,8,0.07363888716164425,282
pan_arctic,CNN,compact_ice,9,0.0767934825136876,282
pan_arctic,CNN,compact_ice,10,0.0796440367647916,282
pan_arctic,CNN,compact_ice,11,0.08260107270699087,282
pan_arctic,CNN,compact_ice,12,0.08802170221823725,282
pan_arctic,CNN,compact_ice,13,0.09031060303321783,282
pan_arctic,CNN,compact_ice,14,0.09293946822036082,282
pan_arctic,CNN,compact_ice,15,0.09578369379665512,282
pan_arctic,CNN,compact_ice,16,0.09888017477328781,282
pan_arctic,CNN,compact_ice,17,0.10161670669399601,282
pan_arctic,CNN,compact_ice,18,0.10409817543951559,282
pan_arctic,CNN,compact_ice,19,0.10726792968607163,282
pan_arctic,CNN,compact_ice,20,0.110994697658366,282
pan_arctic,CNN,compact_ice,21,0.11483676069530484,282
pan_arctic,CNN,compact_ice,22,0.11906845558344237,282
pan_arctic,CNN,compact_ice,23,0.12316221956832009,282
pan_arctic,CNN,compact_ice,24,0.12736801527573297,282
pan_arctic,CNN,compact_ice,25,0.13112592066987797,282
pan_arctic,CNN,compact_ice,26,0.13519462598110288,282
pan_arctic,CNN,compact_ice,27,0.13885353775403134,282
pan_arctic,CNN,compact_ice,28,0.14229830931823348,282
pan_arctic,CNN,compact_ice,29,0.1460898996382374,282
pan_arctic,CNN,compact_ice,30,0.14986943168209255,282
pan_arctic,CNN,miz,1,0.0387119349775496,282
pan_arctic,CNN,miz,2,0.05728591691329549,282
pan_arctic,CNN,miz,3,0.07068951305116175,282
pan_arctic,CNN,miz,4,0.0813627019604753,282
pan_arctic,CNN,miz,5,0.09018035748434212,282
pan_arctic,CNN,miz,6,0.09775469784710057,282
pan_arctic,CNN,miz,7,0.10469058610501485,282
pan_arctic,CNN,miz,8,0.11116799697708174,282
pan_arctic,CNN,miz,9,0.11715389540340469,282
pan_arctic,CNN,miz,10,0.12277449122538084,282
pan_arctic,CNN,miz,11,0.12811842034843904,282
pan_arctic,CNN,miz,12,0.13304336065891903,282
pan_arctic,CNN,miz,13,0.1372700789101721,282
pan_arctic,CNN,miz,14,0.14129670950687978,282
pan_arctic,CNN,miz,15,0.14532843583632069,282
pan_arctic,CNN,miz,16,0.14933083985978587,282
pan_arctic,CNN,miz,17,0.15335680228113105,282
pan_arctic,CNN,miz,18,0.1573008972916309,282
pan_arctic,CNN,miz,19,0.16124312243209865,282
pan_arctic,CNN,miz,20,0.1654674376474427,282
pan_arctic,CNN,miz,21,0.16924708363329066,282
pan_arctic,CNN,miz,22,0.17323707618768266,282
pan_arctic,CNN,miz,23,0.17731095345316028,282
pan_arctic,CNN,miz,24,0.18137758310619417,282
pan_arctic,CNN,miz,25,0.1858302095252626,282
pan_arctic,CNN,miz,26,0.1908117307029585,282
pan_arctic,CNN,miz,27,0.19557347191448887,282
pan_arctic,CNN,miz,28,0.20009382551552557,282
pan_arctic,CNN,miz,29,0.2044540391061033,282
pan_arctic,CNN,miz,30,0.20892040092068787,282
pan_arctic,CNN,open_water,1,0.01406588633720165,282
pan_arctic,CNN,open_water,2,0.01939837131969206,282
pan_arctic,CNN,open_water,3,0.023716904775668783,282
pan_arctic,CNN,open_water,4,0.027777307809108278,282
pan_arctic,CNN,open_water,5,0.03178586804964284,282
pan_arctic,CNN,open_water,6,0.035837898964251616,282
pan_arctic,CNN,open_water,7,0.03921454918207443,282
pan_arctic,CNN,open_water,8,0.04222733602230559,282
pan_arctic,CNN,open_water,9,0.04525995928493394,282
pan_arctic,CNN,open_water,10,0.04797487806586379,282
pan_arctic,CNN,open_water,11,0.05020196681007162,282
pan_arctic,CNN,open_water,12,0.05122733087971229,282
pan_arctic,CNN,open_water,13,0.053760765291774336,282
pan_arctic,CNN,open_water,14,0.05607856603492013,282
pan_arctic,CNN,open_water,15,0.058170124184772,282
pan_arctic,CNN,open_water,16,0.06007741308534845,282
pan_arctic,CNN,open_water,17,0.06188674743779952,282
pan_arctic,CNN,open_water,18,0.06367753772434437,282
pan_arctic,CNN,open_water,19,0.06521306177927468,282
pan_arctic,CNN,open_water,20,0.06645141606248425,282
pan_arctic,CNN,open_water,21,0.06800600122089585,282
pan_arctic,CNN,open_water,22,0.06936933779598004,282
pan_arctic,CNN,open_water,23,0.07053570771316459,282
pan_arctic,CNN,open_water,24,0.07170977025491304,282
pan_arctic,CNN,open_water,25,0.07261405927433053,282
pan_arctic,CNN,open_water,26,0.07285509227732984,282
pan_arctic,CNN,open_water,27,0.07330969308019061,282
pan_arctic,CNN,open_water,28,0.07393868987092442,282
pan_arctic,CNN,open_water,29,0.07467559643633061,282
pan_arctic,CNN,open_water,30,0.07529615529222157,282
pan_arctic,GNN,compact_ice,1,0.03141583323250691,282
pan_arctic,GNN,compact_ice,2,0.04699051376788577,282
pan_arctic,GNN,compact_ice,3,0.0577210181814808,282
pan_arctic,GNN,compact_ice,4,0.06490454869727481,282
pan_arctic,GNN,compact_ice,5,0.07025040376249769,282
pan_arctic,GNN,compact_ice,6,0.07544269220237233,282
pan_arctic,GNN,compact_ice,7,0.08043389536415264,282
pan_arctic,GNN,compact_ice,8,0.08747893085562516,282
pan_arctic,GNN,compact_ice,9,0.09211530821015758,282
pan_arctic,GNN,compact_ice,10,0.09783985791736041,282
pan_arctic,GNN,compact_ice,11,0.104567784880829,282
pan_arctic,GNN,compact_ice,12,0.10961009944828325,282
pan_arctic,GNN,compact_ice,13,0.1144024233081411,282
pan_arctic,GNN,compact_ice,14,0.12020393821117303,282
pan_arctic,GNN,compact_ice,15,0.12628238240486872,282
pan_arctic,GNN,compact_ice,16,0.13252553127982464,282
pan_arctic,GNN,compact_ice,17,0.13855323228533845,282
pan_arctic,GNN,compact_ice,18,0.14541245609680412,282
pan_arctic,GNN,compact_ice,19,0.15163489671579825,282
pan_arctic,GNN,compact_ice,20,0.15863915396309594,282
pan_arctic,GNN,compact_ice,21,0.16489350232598077,282
pan_arctic,GNN,compact_ice,22,0.17441732977711355,282
pan_arctic,GNN,compact_ice,23,0.18093643160991227,282
pan_arctic,GNN,compact_ice,24,0.18603006815685968,282
pan_arctic,GNN,compact_ice,25,0.19168772571147666,282
pan_arctic,GNN,compact_ice,26,0.20055781067614914,282
