model,domain,lead_day,metric,mean,ci_lower,ci_upper,n_initializations,bootstrap_reps,block_days,seed_base,lead_seed
CNN,chukchi,9,rmse,0.0699123903739901,0.0467871478853304,0.0878860784822008,282,5000,7,20260816,20260825
CNN,chukchi,10,rmse,0.0742510428959744,0.0495735732199947,0.0950331079150963,282,5000,7,20260816,20260826
CNN,chukchi,11,rmse,0.0782263072252623,0.0515274635814469,0.0998565314546882,282,5000,7,20260816,20260827
CNN,chukchi,12,rmse,0.0816277077007693,0.0540980798477687,0.1067375833793381,282,5000,7,20260816,20260828
CNN,chukchi,13,rmse,0.084579558237596,0.0555475538015671,0.1097429648485228,282,5000,7,20260816,20260829
CNN,chukchi,14,rmse,0.0871726183017209,0.0574240705842106,0.1143422542049674,282,5000,7,20260816,20260830
CNN,chukchi,15,rmse,0.0896580526258795,0.0584073322038965,0.1175558709084383,282,5000,7,20260816,20260831
CNN,chukchi,16,rmse,0.0920835419699486,0.0612138926798653,0.1200048102027398,282,5000,7,20260816,20260832
CNN,chukchi,17,rmse,0.0944717845205789,0.0621570450832324,0.1229791787265063,282,5000,7,20260816,20260833
CNN,chukchi,18,rmse,0.09687522189743,0.065971071179657,0.1249493104243618,282,5000,7,20260816,20260834
CNN,chukchi,19,rmse,0.0994094532091663,0.068436001744964,0.1270430728038347,282,5000,7,20260816,20260835
CNN,chukchi,20,rmse,0.1018448055124311,0.0707279724222827,0.1286047653671669,282,5000,7,20260816,20260836
CNN,chukchi,21,rmse,0.1040917227644327,0.0729535273137328,0.1305080671901431,282,5000,7,20260816,20260837
CNN,chukchi,22,rmse,0.1065172782229626,0.0757391653245641,0.1320336228926858,282,5000,7,20260816,20260838
CNN,chukchi,23,rmse,0.1087259647501474,0.0768866991024042,0.133717495220255,282,5000,7,20260816,20260839
CNN,chukchi,24,rmse,0.1108156469156386,0.0779113588880159,0.1352248948746982,282,5000,7,20260816,20260840
CNN,chukchi,25,rmse,0.1130647146820003,0.0812350574540366,0.1373457526536286,282,5000,7,20260816,20260841
CNN,chukchi,26,rmse,0.1147890458966062,0.0828451530070463,0.1390577361628184,282,5000,7,20260816,20260842
CNN,chukchi,27,rmse,0.1164870980489094,0.0839336775158358,0.1410822642158873,282,5000,7,20260816,20260843
CNN,chukchi,28,rmse,0.1184716907220373,0.0846756286914264,0.1436490528734105,282,5000,7,20260816,20260844
CNN,chukchi,29,rmse,0.1204030628974664,0.0873128697148201,0.1451986382658174,282,5000,7,20260816,20260845
CNN,chukchi,30,rmse,0.1226562253073779,0.0890540941734542,0.1465496186858719,282,5000,7,20260816,20260846
CNN,pan_arctic,1,r,0.9969473212722216,0.9965849725995632,0.9973621798967228,282,5000,7,20260816,20260817
CNN,pan_arctic,2,r,0.9938897446959286,0.9933646889558156,0.9945965883258056,282,5000,7,20260816,20260818
CNN,pan_arctic,3,r,0.991067363468628,0.9903543351822728,0.9920269168399654,282,5000,7,20260816,20260819
CNN,pan_arctic,4,r,0.988441430911858,0.9876261397697124,0.9896018286764724,282,5000,7,20260816,20260820
CNN,pan_arctic,5,r,0.9859651890588548,0.9850343454238212,0.9873162054695064,282,5000,7,20260816,20260821
CNN,pan_arctic,6,r,0.9835561644735644,0.9825189617280524,0.9851096763907886,282,5000,7,20260816,20260822
CNN,pan_arctic,7,r,0.9812031583945456,0.9800941194402656,0.982910095051164,282,5000,7,20260816,20260823
CNN,pan_arctic,8,r,0.9788808239283832,0.9777429686752508,0.9808350029184336,282,5000,7,20260816,20260824
CNN,pan_arctic,9,r,0.9766096448693284,0.975389657202646,0.978814256363372,282,5000,7,20260816,20260825
CNN,pan_arctic,10,r,0.9744087808752874,0.973013907480497,0.9769350836827796,282,5000,7,20260816,20260826
CNN,pan_arctic,11,r,0.972308415744652,0.9705846846018252,0.9751005691077664,282,5000,7,20260816,20260827
